,[#6]:[#6]:[#6](-[#17]):[#6]:[#6],[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],[#6]-[#8]-[#6](-[#9])(-[#9])-[#9],[#6]:[#6](-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1):[#6],[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,[#6]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#8]-[#6](:[#6]):[#6],[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#8]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#6]:[#6](-[#6](-[#7])=[#8]):[#6],[#6]:[#6]:[#6](-[#9]):[#6](-[#9]):[#6],[#7]1-[#6]-[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,[#6]:[#7]:[#6](-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]):[#7]:[#6],[#6]-[#7]1-[#6]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
NOS2,0,0,0,0,0,0,0.090725806,0,0,0,0,0,0,0,0,0,0,0.620967742,0,0,0,0,0,0.090725806,0,0.463709677,0,0
NR1H4,0.590604027,0.154362416,0,0.063758389,0,0,0,0,0,0,0,0,0,0,0,0.154362416,0,0.567114094,0,0,0,0,0,0,0,0,0.214765101,0.620805369
NR3C1,0.976340694,0.441640379,0.596214511,0.902208202,0,0,0,0,0,0,0,0.879337539,0,0.869873817,0,0,0,0.791009464,0,0,0,0,0,0.657728707,0,0,0.399053628,0.708201893
OPRD1,0,0.414239482,0,0.550161812,0.990291262,0,0.935275081,0,0,0,0,0,0,0,0,0,0,0,0,0.754045307,0,0,0.370550162,0.935275081,0.72815534,0.001618123,0,0.676375405
OPRK1,0.304449649,0.702576112,0.204918033,0,0.600702576,0,0,0.837236534,0,0.706088993,0.754098361,0.341920375,0.173302108,0.351288056,0,0,0.270491803,0,0,0,0,0.683840749,0.62763466,0,0.578454333,0,0.771662763,0.491803279
OPRM1,0.285714286,0.634660422,0.914519906,0.18969555,0.777517564,0,0,0.299765808,0,0,0,0.281030445,0,0,0,0,0.55971897,0,0,0,0,0,0,0,0.772833724,0,0,0.444964871
OXTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619047619
PGR,0.499148211,0.531516184,0.022146508,0,0.764054514,0.93867121,0.214650767,0,0,0,0.890971039,0,0,0,0,0,0,0.1439523,0,0,0,0,0,0.61669506,0.868824532,0.353492334,0.475298126,0.473594549
PLK1,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0.178132678,0.047911548,0,0,0,0,0,0,0.78009828,0,0,0,0,0,0.842751843,0
PPARD,0.833333333,0,0,0,0,0.856725146,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.947368421,0,0,0.347953216,0
PPARG,0.499040307,0.491362764,0.859884837,0,0,0,0,0.245681382,0,0.846449136,0,0.809980806,0,0.595009597,0,0.665067179,0,0,0,0,0,0,0,0.401151631,0.891554702,0.748560461,0,0.364683301
PTGS2,0.426995457,0.341985724,0.553536665,0.351070733,0.556132382,0.170668397,0.61064244,0.960415315,0,0,0.726151849,0,0.377027904,0.571706684,0.418559377,0.941596366,0,0.932511356,0,0,0,0,0,0.646982479,0.425697599,0.873458793,0.833225178,0.472420506
RAF1,0.433246073,0,0,0,0,0,0,0,0,0,0.138743455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403141361,0,0,0
ROCK2,0.814360771,0.915936953,0.563922942,0.933450088,0,0,0.07793345,0.45709282,0,0,0,0.802101576,0.933450088,0.50262697,0.727670753,0,0,0,0,0.756567426,0,0,0.401926445,0.960595447,0,0.795096322,0.714535902,0.330122592
RORC,0.898762655,0.726659168,0.825646794,0.661417323,0,0.687289089,0,0.827896513,0,0.951631046,0,0,0,0,0.876265467,0,0.837457818,0,0,0,0,0,0,0.586051744,0.87064117,0.268841395,0.506186727,0.948818898
RXRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181318681,0,0,0,0
SELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049019608
SLC6A3,0.556732224,0.447806354,0,0.155824508,0,0,0.620272315,0.306354009,0,0,0,0.639183056,0.598335855,0,0,0,0,0.560514372,0,0,0,0,0.363842663,0.735249622,0,0,0.052950076,0.857791225
SRC,0.625274725,0.428571429,0.512087912,0.447802198,0.601098901,0.450549451,0,0.635714286,0.939010989,0,0,0.898351648,0.36043956,0.243406593,0.56043956,0,0,0,0.680769231,0,0.396703297,0,0.714285714,0,0.749450549,0.382417582,0.949450549,0.212087912
STAT3,0,0.626780627,0,0.122507123,0.394586895,0.814814815,0,0,0.122507123,0.41025641,0,0,0,0.645299145,0,0,0,0,0.809116809,0,0,0,0,0.998575499,0.296296296,0.915954416,0.296296296,0.745014245
TGFBR1,0,0,0,0,0,0,0.212797619,0,0,0.44047619,0,0,0,0,0,0,0.032738095,0,0,0,0,0,0,0.708333333,0,0,0,0.833333333
THRB,0,0.633333333,0.24,0,0,0,0,0,0.923333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0
VDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
